                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 2.0096,                 1.6253,                0.75458,                0.83785,                0.59095,                0.69007,                0.30028,                 1.8635,                 1.9675,                0.76264,              0.0095644,              0.0095644,              0.0095644
                     14,                 1.9326,                 1.6047,                 0.7447,                0.81788,                0.57536,                0.66479,                0.25584,                 2.2078,                 2.1387,                0.76439,              0.0095248,              0.0095248,              0.0095248
                     15,                 1.9068,                 1.5982,                0.74978,                0.84266,                0.60025,                0.69462,                0.30297,                  1.917,                 1.9852,                0.76108,              0.0094852,              0.0094852,              0.0094852
                     16,                 1.9021,                 1.5501,                 0.7542,                 0.8163,                0.59375,                0.67993,                0.28727,                 1.9742,                 1.9202,                0.76325,              0.0094456,              0.0094456,              0.0094456
                     17,                 1.9042,                 1.5443,                 0.7506,                0.83666,                 0.6036,                0.68803,                0.28112,                 2.1105,                 2.0791,                0.76317,               0.009406,               0.009406,               0.009406
                     18,                 1.8599,                 1.5345,                0.74684,                 0.8645,                0.61804,                0.71406,                0.33869,                 1.7171,                 1.8369,                0.76275,              0.0093664,              0.0093664,              0.0093664
                     19,                 1.8427,                  1.511,                0.74431,                0.81315,                0.59517,                0.66723,                0.28428,                 1.9665,                 2.0356,                0.76219,              0.0093268,              0.0093268,              0.0093268
                     20,                  1.847,                 1.5085,                0.74982,                0.86376,                0.61735,                0.71992,                0.31348,                 1.9311,                 2.0381,                0.75573,              0.0092872,              0.0092872,              0.0092872
                     21,                 1.7911,                 1.4885,                0.74133,                0.86402,                0.62676,                0.72351,                0.30668,                 2.0015,                 2.0075,                0.76287,              0.0092476,              0.0092476,              0.0092476
                     22,                 1.8135,                  1.477,                0.75081,                0.81004,                0.59332,                0.65295,                0.25486,                 2.2161,                 2.3657,                0.76528,               0.009208,               0.009208,               0.009208
                     23,                 1.7529,                 1.4385,                0.73789,                0.85761,                0.61371,                0.71528,                0.33061,                   1.79,                 1.9886,                0.75781,              0.0091684,              0.0091684,              0.0091684
                     24,                 1.7504,                 1.4379,                  0.742,                0.83672,                0.61212,                0.68733,                0.29296,                 2.0644,                 1.9714,                0.76417,              0.0091288,              0.0091288,              0.0091288
                     25,                   1.74,                 1.4103,                0.73784,                 0.8607,                0.61706,                0.71645,                0.33688,                  1.746,                 1.9095,                0.75682,              0.0090892,              0.0090892,              0.0090892
                     26,                 1.7503,                 1.4079,                0.75046,                0.86883,                0.62677,                0.73202,                 0.3407,                 1.7933,                 1.8687,                0.75785,              0.0090496,              0.0090496,              0.0090496
                     27,                 1.7356,                 1.4199,                0.74712,                0.85263,                0.60505,                0.71023,                0.34585,                 1.6468,                 1.8534,                0.75704,                0.00901,                0.00901,                0.00901
                     28,                 1.7183,                 1.4032,                0.73657,                0.86717,                0.61982,                0.72033,                0.33853,                 1.7075,                 1.8788,                0.75745,              0.0089704,              0.0089704,              0.0089704
                     29,                  1.721,                 1.4206,                0.74922,                0.87016,                0.61042,                0.71539,                 0.3465,                  1.649,                 1.7977,                0.75587,              0.0089308,              0.0089308,              0.0089308
                     30,                  1.731,                 1.3898,                0.74667,                0.85965,                0.61262,                0.71569,                0.35174,                 1.6352,                 1.8106,                 0.7561,              0.0088912,              0.0088912,              0.0088912
                     31,                 1.6875,                 1.3738,                0.74243,                0.86599,                0.62881,                0.73922,                0.32335,                 1.9261,                 1.9927,                  0.757,              0.0088516,              0.0088516,              0.0088516
                     32,                 1.6966,                 1.3736,                0.74773,                0.87719,                0.61674,                0.73414,                0.35221,                 1.7159,                 1.8842,                0.75753,               0.008812,               0.008812,               0.008812
                     33,                 1.6806,                 1.3636,                0.75118,                 0.8762,                0.61603,                0.73853,                0.35371,                 1.7034,                 1.8349,                0.75398,              0.0087724,              0.0087724,              0.0087724
                     34,                 1.6642,                 1.3549,                0.74314,                0.86806,                0.61622,                0.73277,                0.33122,                 1.8598,                 1.8668,                0.75585,              0.0087328,              0.0087328,              0.0087328
                     35,                 1.6592,                 1.3247,                0.74224,                0.87153,                0.61948,                0.73116,                0.35758,                 1.6495,                 1.8294,                0.75457,              0.0086932,              0.0086932,              0.0086932
                     36,                  1.659,                 1.3645,                0.73868,                0.87661,                0.61708,                0.73655,                0.33094,                 1.8311,                 1.8968,                0.75279,              0.0086536,              0.0086536,              0.0086536
                     37,                 1.6503,                 1.3166,                0.74358,                0.86758,                0.62294,                0.73173,                0.35563,                  1.741,                 1.8355,                0.75578,               0.008614,               0.008614,               0.008614
                     38,                 1.6375,                 1.3325,                 0.7423,                0.87342,                0.61242,                0.73014,                0.35657,                 1.6974,                 1.7011,                0.75495,              0.0085744,              0.0085744,              0.0085744
                     39,                 1.6273,                 1.3064,                0.74109,                0.87578,                0.62478,                0.73514,                0.35403,                 1.7051,                 1.8205,                0.75372,              0.0085348,              0.0085348,              0.0085348
                     40,                 1.6136,                 1.2984,                0.72995,                0.87709,                0.61596,                0.72671,                0.34695,                 1.7376,                  1.784,                 0.7541,              0.0084952,              0.0084952,              0.0084952
                     41,                 1.6362,                 1.2939,                0.75043,                0.87548,                0.62507,                0.73409,                0.35012,                  1.772,                 1.9029,                0.75303,              0.0084556,              0.0084556,              0.0084556
                     42,                 1.5958,                 1.3031,                0.73156,                0.86724,                0.61752,                0.71786,                0.35413,                 1.6471,                 1.8433,                0.75364,               0.008416,               0.008416,               0.008416
                     43,                 1.6029,                 1.3064,                 0.7292,                0.88531,                0.63443,                0.75236,                0.37814,                 1.5938,                 1.7891,                0.75179,              0.0083764,              0.0083764,              0.0083764
                     44,                 1.5934,                 1.3275,                0.73855,                0.87485,                0.64015,                0.74093,                0.35854,                 1.6803,                 1.8011,                 0.7526,              0.0083368,              0.0083368,              0.0083368
                     45,                 1.5979,                 1.2899,                0.73803,                0.88046,                0.63382,                0.74269,                0.34774,                 1.7793,                 1.9555,                0.75335,              0.0082972,              0.0082972,              0.0082972
                     46,                 1.5947,                  1.315,                0.74515,                0.87658,                0.62599,                0.73706,                0.38031,                 1.5598,                  1.796,                0.75215,              0.0082576,              0.0082576,              0.0082576
                     47,                 1.5657,                 1.2827,                0.73497,                0.87936,                0.62765,                0.73932,                 0.3607,                 1.7044,                 1.8811,                0.75308,               0.008218,               0.008218,               0.008218
                     48,                 1.5778,                 1.2757,                0.74138,                0.89222,                0.63453,                0.75203,                0.37008,                 1.6187,                 1.8347,                0.74983,              0.0081784,              0.0081784,              0.0081784
                     49,                 1.5575,                 1.2659,                0.73873,                0.88053,                0.63064,                0.75205,                0.37088,                 1.6685,                 1.7713,                0.75296,              0.0081388,              0.0081388,              0.0081388
                     50,                 1.5589,                 1.2717,                0.73192,                0.88651,                0.63154,                0.75167,                0.36778,                 1.7088,                 1.9054,                0.75228,              0.0080992,              0.0080992,              0.0080992
                     51,                 1.5329,                   1.26,                0.72498,                0.88512,                0.63539,                0.75083,                0.39122,                 1.5587,                 1.7712,                0.75088,              0.0080596,              0.0080596,              0.0080596
                     52,                 1.5508,                 1.2541,                0.73746,                0.88654,                0.62862,                0.74767,                0.38302,                 1.5581,                 1.8057,                0.75122,                0.00802,                0.00802,                0.00802
                     53,                 1.5206,                 1.2302,                0.72948,                0.88999,                0.63188,                0.75282,                0.38235,                 1.5964,                 1.7825,                0.75085,              0.0079804,              0.0079804,              0.0079804
                     54,                 1.5699,                 1.2742,                0.74486,                0.88978,                0.63688,                0.75036,                0.36881,                 1.6584,                 1.8966,                0.74906,              0.0079408,              0.0079408,              0.0079408
                     55,                 1.5459,                  1.258,                0.74229,                0.87749,                0.63998,                0.75017,                0.38554,                 1.5633,                 1.7413,                 0.7491,              0.0079012,              0.0079012,              0.0079012
                     56,                 1.5291,                 1.2592,                0.74007,                0.88379,                0.63193,                0.75483,                0.39309,                  1.533,                 1.7431,                0.75115,              0.0078616,              0.0078616,              0.0078616
                     57,                 1.5165,                 1.2373,                0.73097,                0.89144,                0.63259,                0.75591,                0.37114,                 1.6506,                 1.8365,                0.75064,               0.007822,               0.007822,               0.007822
                     58,                 1.5634,                 1.2787,                 0.7479,                0.88311,                  0.638,                0.75194,                0.38479,                  1.569,                 1.8002,                0.75035,              0.0077824,              0.0077824,              0.0077824
                     59,                 1.5113,                 1.2264,                 0.7316,                0.88492,                0.62754,                0.74667,                0.36371,                 1.6738,                 1.8759,                 0.7511,              0.0077428,              0.0077428,              0.0077428
                     60,                 1.5158,                 1.2182,                0.73834,                 0.8858,                0.65355,                0.76282,                0.37986,                   1.63,                  1.867,                0.74942,              0.0077032,              0.0077032,              0.0077032
                     61,                 1.5026,                 1.2197,                0.72967,                 0.8791,                 0.6303,                 0.7414,                0.36071,                 1.6702,                 1.8448,                0.74989,              0.0076636,              0.0076636,              0.0076636
                     62,                 1.4696,                 1.2002,                0.73616,                0.89026,                0.62863,                0.73907,                0.37618,                 1.5917,                 1.8008,                0.74987,               0.007624,               0.007624,               0.007624
                     63,                  1.477,                 1.2066,                0.73109,                0.88612,                0.64368,                0.75778,                0.38292,                 1.6232,                 1.8176,                0.75013,              0.0075844,              0.0075844,              0.0075844
                     64,                 1.4991,                 1.2299,                0.74296,                0.89184,                0.64235,                0.76023,                 0.3933,                 1.5921,                 1.7478,                0.74931,              0.0075448,              0.0075448,              0.0075448
                     65,                 1.4401,                 1.1776,                0.72692,                0.90136,                0.62402,                0.74629,                0.41003,                 1.4313,                 1.6466,                 0.7496,              0.0075052,              0.0075052,              0.0075052
                     66,                 1.4545,                 1.2034,                0.72614,                0.89454,                0.62401,                0.74513,                0.39437,                 1.5095,                 1.6975,                0.74936,              0.0074656,              0.0074656,              0.0074656
                     67,                 1.4377,                 1.1698,                0.73842,                0.89538,                0.63234,                0.75683,                0.38742,                 1.5949,                 1.8361,                0.75001,               0.007426,               0.007426,               0.007426
                     68,                 1.4508,                 1.1865,                0.72967,                 0.8917,                0.62955,                0.75441,                0.39821,                 1.5249,                 1.6621,                0.74839,              0.0073864,              0.0073864,              0.0073864
                     69,                 1.4713,                 1.1985,                 0.7372,                0.90235,                0.61808,                0.73537,                0.39933,                 1.4787,                 1.6599,                0.75055,              0.0073468,              0.0073468,              0.0073468
                     70,                 1.4377,                 1.1878,                0.73072,                0.88935,                0.62589,                0.74715,                0.40402,                 1.4489,                 1.6973,                0.74774,              0.0073072,              0.0073072,              0.0073072
                     71,                 1.4527,                  1.182,                0.73121,                0.89243,                  0.626,                0.74402,                0.40396,                 1.4672,                 1.7041,                0.74863,              0.0072676,              0.0072676,              0.0072676
                     72,                 1.4314,                 1.1813,                0.72937,                0.90065,                0.62909,                0.74997,                0.40847,                 1.4654,                 1.6822,                0.74795,               0.007228,               0.007228,               0.007228
                     73,                 1.4546,                 1.1969,                0.73574,                 0.9004,                0.62113,                 0.7446,                0.41704,                 1.4314,                 1.6194,                0.74852,              0.0071884,              0.0071884,              0.0071884
                     74,                 1.4393,                 1.2094,                0.73113,                 0.9031,                0.62842,                0.75305,                0.42611,                 1.3934,                 1.6005,                0.74876,              0.0071488,              0.0071488,              0.0071488
                     75,                  1.437,                 1.1734,                0.73016,                0.90048,                0.63577,                0.75879,                0.41297,                 1.4407,                 1.7173,                0.74753,              0.0071092,              0.0071092,              0.0071092
                     76,                 1.4004,                 1.1596,                0.72549,                0.90278,                0.63075,                 0.7544,                0.41271,                  1.437,                 1.7042,                0.74842,              0.0070696,              0.0070696,              0.0070696
                     77,                 1.4173,                 1.1611,                0.73338,                0.89594,                0.63011,                0.74254,                0.41611,                 1.4063,                 1.6536,                0.74706,                0.00703,                0.00703,                0.00703
                     78,                 1.4015,                 1.1418,                 0.7335,                0.89977,                0.63189,                0.75427,                0.40469,                 1.4878,                 1.7495,                0.74862,              0.0069904,              0.0069904,              0.0069904
                     79,                 1.4219,                 1.1636,                0.73725,                0.89906,                 0.6241,                0.74395,                0.42184,                 1.3438,                 1.6464,                0.74663,              0.0069508,              0.0069508,              0.0069508
                     80,                 1.3896,                 1.1456,                0.72384,                0.90731,                0.62576,                0.74611,                0.42729,                 1.3998,                 1.5864,                0.74853,              0.0069112,              0.0069112,              0.0069112
                     81,                 1.4131,                 1.1545,                0.73958,                0.90278,                0.62616,                0.75241,                0.40811,                 1.4493,                    1.7,                0.74744,              0.0068716,              0.0068716,              0.0068716
                     82,                  1.379,                  1.141,                0.72668,                0.89829,                0.63146,                0.75306,                0.43223,                 1.3317,                 1.6273,                0.74805,               0.006832,               0.006832,               0.006832
                     83,                 1.3682,                 1.1208,                0.72103,                0.89477,                0.62161,                0.74056,                0.44109,                 1.3113,                 1.5152,                0.74787,              0.0067924,              0.0067924,              0.0067924
                     84,                  1.391,                 1.1547,                 0.7295,                0.90093,                0.62667,                0.75146,                0.41206,                 1.4196,                 1.7239,                0.74767,              0.0067528,              0.0067528,              0.0067528
                     85,                 1.3893,                 1.1594,                0.72813,                0.90096,                0.62439,                0.74822,                0.42631,                 1.3903,                 1.7144,                0.74849,              0.0067132,              0.0067132,              0.0067132
                     86,                 1.3963,                 1.1839,                 0.7344,                0.89244,                0.62096,                0.74075,                0.42471,                 1.3771,                 1.6061,                0.74752,              0.0066736,              0.0066736,              0.0066736
                     87,                 1.3886,                 1.1396,                 0.7363,                0.89707,                0.62293,                0.74275,                0.45178,                 1.2608,                 1.4975,                0.74778,               0.006634,               0.006634,               0.006634
                     88,                 1.3735,                 1.1213,                0.73171,                0.90196,                0.61577,                0.73172,                0.44199,                 1.2827,                 1.4736,                0.74682,              0.0065944,              0.0065944,              0.0065944
                     89,                 1.3692,                 1.1419,                0.72334,                0.89594,                0.62396,                0.74097,                 0.4246,                  1.323,                 1.5677,                0.74724,              0.0065548,              0.0065548,              0.0065548
                     90,                 1.3438,                 1.0976,                0.72433,                 0.9019,                0.62612,                0.74514,                0.43736,                 1.3017,                  1.581,                0.74762,              0.0065152,              0.0065152,              0.0065152
                     91,                 1.3814,                 1.1486,                0.73815,                0.88538,                0.61558,                0.72213,                0.43098,                 1.2695,                 1.5389,                0.74741,              0.0064756,              0.0064756,              0.0064756
                     92,                 1.3595,                 1.1452,                 0.7282,                 0.9061,                0.61802,                 0.7345,                0.44549,                 1.2446,                 1.4785,                0.74708,               0.006436,               0.006436,               0.006436
                     93,                 1.3382,                 1.1043,                0.72189,                0.90622,                0.62405,                0.74662,                0.44876,                 1.2783,                 1.5936,                0.74586,              0.0063964,              0.0063964,              0.0063964
                     94,                 1.3404,                 1.1237,                0.71854,                0.89306,                0.61619,                0.73102,                 0.4474,                 1.2529,                  1.481,                0.74712,              0.0063568,              0.0063568,              0.0063568
                     95,                 1.3593,                 1.1273,                0.73589,                0.90057,                0.62167,                0.74658,                0.43696,                 1.3246,                 1.6212,                0.74747,              0.0063172,              0.0063172,              0.0063172
                     96,                 1.3382,                 1.0947,                 0.7205,                0.91254,                0.62714,                0.75079,                0.43872,                 1.2936,                 1.5765,                0.74681,              0.0062776,              0.0062776,              0.0062776
                     97,                 1.3463,                 1.1171,                 0.7302,                0.89685,                0.62723,                0.74495,                0.43112,                 1.3035,                 1.5639,                0.74643,               0.006238,               0.006238,               0.006238
                     98,                 1.3147,                 1.0816,                0.72862,                0.90559,                0.62041,                0.73615,                0.42152,                 1.3108,                  1.632,                0.74603,              0.0061984,              0.0061984,              0.0061984
                     99,                 1.3419,                 1.1046,                0.73096,                0.90401,                0.62939,                0.75618,                0.43673,                 1.3059,                 1.6179,                0.74698,              0.0061588,              0.0061588,              0.0061588
                    100,                  1.325,                 1.0896,                0.72101,                0.90233,                 0.6304,                0.75291,                0.44619,                 1.2624,                 1.5801,                0.74548,              0.0061192,              0.0061192,              0.0061192
                    101,                 1.3242,                 1.1003,                0.73023,                0.90941,                0.62934,                0.75016,                0.44166,                 1.2828,                 1.6088,                0.74676,              0.0060796,              0.0060796,              0.0060796
                    102,                 1.3254,                 1.1043,                0.73439,                0.90195,                  0.621,                 0.7329,                0.44741,                 1.2121,                 1.5369,                0.74632,                0.00604,                0.00604,                0.00604
                    103,                 1.3112,                 1.0857,                0.72897,                0.91062,                0.62416,                0.74228,                0.44143,                 1.2454,                 1.5533,                0.74679,              0.0060004,              0.0060004,              0.0060004
                    104,                 1.2982,                 1.0842,                0.72745,                0.91069,                0.62043,                0.74428,                0.45096,                 1.2218,                 1.5383,                0.74565,              0.0059608,              0.0059608,              0.0059608
                    105,                 1.3032,                 1.0816,                0.73165,                0.90442,                0.62871,                0.75203,                 0.4264,                 1.3582,                 1.6712,                 0.7464,              0.0059212,              0.0059212,              0.0059212
                    106,                 1.2983,                 1.0755,                0.73697,                0.90863,                0.62684,                0.74687,                0.44104,                  1.272,                 1.6122,                0.74577,              0.0058816,              0.0058816,              0.0058816
                    107,                 1.3014,                 1.0852,                0.72795,                0.90414,                0.62464,                0.74012,                0.42119,                  1.324,                 1.6239,                0.74551,               0.005842,               0.005842,               0.005842
                    108,                 1.3068,                 1.0762,                 0.7339,                0.90844,                0.62556,                0.74811,                0.43353,                 1.2881,                 1.5933,                0.74601,              0.0058024,              0.0058024,              0.0058024
                    109,                 1.3005,                 1.0838,                0.73767,                 0.9099,                0.62732,                0.75334,                0.45726,                 1.2077,                 1.5156,                0.74612,              0.0057628,              0.0057628,              0.0057628
                    110,                 1.2901,                 1.0597,                 0.7292,                0.90925,                0.61648,                0.73383,                 0.4662,                  1.171,                 1.4767,                0.74589,              0.0057232,              0.0057232,              0.0057232
                    111,                 1.2806,                 1.0814,                0.73148,                 0.9164,                0.62353,                0.74932,                0.44561,                 1.2488,                 1.6082,                0.74518,              0.0056836,              0.0056836,              0.0056836
                    112,                 1.2707,                 1.0571,                0.73412,                0.90715,                0.62717,                 0.7471,                0.45754,                 1.2167,                 1.5692,                0.74524,               0.005644,               0.005644,               0.005644
                    113,                 1.2456,                 1.0425,                0.72511,                0.90938,                0.62711,                0.74762,                0.44152,                 1.2791,                  1.583,                0.74603,              0.0056044,              0.0056044,              0.0056044
                    114,                 1.2315,                 1.0463,                0.71583,                0.91602,                 0.6266,                0.75368,                0.45222,                 1.2424,                 1.5633,                0.74511,              0.0055648,              0.0055648,              0.0055648
                    115,                 1.2595,                 1.0533,                0.73179,                0.91215,                0.62918,                0.75737,                0.45028,                 1.2519,                 1.5895,                0.74523,              0.0055252,              0.0055252,              0.0055252
                    116,                 1.2311,                 1.0223,                0.72787,                0.90916,                0.62635,                0.75627,                0.46027,                 1.2257,                  1.553,                0.74535,              0.0054856,              0.0054856,              0.0054856
                    117,                 1.2366,                 1.0499,                0.73231,                0.91378,                0.63226,                0.76014,                0.45178,                 1.2565,                 1.5932,                0.74644,               0.005446,               0.005446,               0.005446
                    118,                 1.1908,                 1.0016,                0.71619,                0.91168,                0.62834,                0.75918,                0.45554,                 1.2483,                 1.5686,                0.74577,              0.0054064,              0.0054064,              0.0054064
                    119,                 1.2071,                 1.0137,                0.73414,                0.91609,                0.62937,                0.75315,                0.43297,                 1.3262,                 1.6714,                0.74614,              0.0053668,              0.0053668,              0.0053668
                    120,                 1.1882,                0.99779,                0.73105,                0.91257,                0.63166,                0.75681,                0.44091,                 1.3248,                 1.6451,                0.74553,              0.0053272,              0.0053272,              0.0053272
                    121,                 1.1628,                0.97129,                0.72183,                0.90787,                0.62826,                0.75248,                0.43257,                 1.3498,                 1.6628,                0.74611,              0.0052876,              0.0052876,              0.0052876
                    122,                 1.1638,                0.98474,                0.72368,                0.90751,                0.63049,                0.75321,                0.41798,                 1.4098,                 1.7401,                0.74649,               0.005248,               0.005248,               0.005248
                    123,                 1.1652,                0.98764,                0.72384,                0.91125,                0.62955,                 0.7534,                0.43096,                 1.3303,                 1.6475,                0.74613,              0.0052084,              0.0052084,              0.0052084
                    124,                 1.1478,                0.96701,                0.72808,                0.90797,                0.62756,                0.75143,                0.43722,                 1.3339,                  1.615,                0.74624,              0.0051688,              0.0051688,              0.0051688
                    125,                 1.1467,                0.97659,                0.72725,                0.90763,                0.63233,                0.75635,                0.42169,                 1.3822,                 1.7014,                0.74608,              0.0051292,              0.0051292,              0.0051292
                    126,                 1.1435,                0.96058,                0.73185,                 0.9082,                0.62917,                0.75301,                0.43367,                 1.3305,                 1.6566,                0.74618,              0.0050896,              0.0050896,              0.0050896
                    127,                 1.1493,                0.95775,                0.73695,                0.89136,                0.62606,                0.74412,                0.42245,                 1.3931,                 1.6678,                0.74609,                0.00505,                0.00505,                0.00505
                    128,                 1.1253,                0.96783,                0.72613,                0.90477,                0.62937,                 0.7507,                0.42381,                 1.3847,                 1.7117,                0.74647,              0.0050104,              0.0050104,              0.0050104
                    129,                 1.1195,                0.95023,                0.72453,                0.91208,                0.63038,                0.75133,                0.39415,                  1.499,                 1.8056,                0.74769,              0.0049708,              0.0049708,              0.0049708
                    130,                 1.1149,                0.94089,                0.72897,                0.90784,                0.63033,                0.75097,                0.40701,                 1.4365,                 1.7264,                0.74661,              0.0049312,              0.0049312,              0.0049312
                    131,                 1.1118,                0.95408,                0.72854,                0.90648,                0.63189,                0.75082,                0.41467,                 1.3957,                  1.735,                0.74602,              0.0048916,              0.0048916,              0.0048916
                    132,                 1.1162,                0.95339,                 0.7292,                0.90284,                0.62779,                0.75025,                0.41634,                 1.3895,                  1.766,                  0.746,               0.004852,               0.004852,               0.004852
                    133,                 1.0767,                0.95317,                0.71946,                0.89959,                0.62891,                0.74698,                0.39575,                 1.4596,                 1.7695,                0.74682,              0.0048124,              0.0048124,              0.0048124
                    134,                 1.0784,                0.92198,                0.72669,                0.90567,                0.63085,                0.75107,                0.40151,                 1.4588,                 1.7707,                0.74673,              0.0047728,              0.0047728,              0.0047728
                    135,                 1.0925,                0.92401,                 0.7267,                0.90211,                0.62779,                0.74721,                0.40018,                  1.465,                 1.7369,                0.74639,              0.0047332,              0.0047332,              0.0047332
                    136,                 1.0698,                0.91184,                0.72411,                0.89877,                0.62844,                0.74662,                0.40198,                 1.4378,                 1.7611,                0.74659,              0.0046936,              0.0046936,              0.0046936
                    137,                 1.0623,                0.91109,                0.71605,                0.90158,                0.62843,                0.74601,                0.40504,                 1.4248,                 1.7437,                 0.7464,               0.004654,               0.004654,               0.004654
                    138,                 1.0728,                 0.9166,                0.72766,                0.90834,                0.63395,                0.75831,                0.40549,                 1.4603,                 1.8497,                0.74673,              0.0046144,              0.0046144,              0.0046144
                    139,                 1.0601,                0.90457,                 0.7305,                0.90712,                0.63698,                0.75839,                0.40088,                 1.4937,                 1.8651,                0.74621,              0.0045748,              0.0045748,              0.0045748
                    140,                 1.0331,                0.89463,                 0.7186,                0.90688,                0.63389,                0.75613,                0.41051,                 1.4536,                 1.8434,                 0.7457,              0.0045352,              0.0045352,              0.0045352
